pattern,algorithm,run,usage_bb,concave_hull,rest_length
rand_00YONAPXZE_specification,GA,0,0.413302568230646,0.8253535337798015,2.0
rand_00YONAPXZE_specification,GA,1,0.40536125459821426,0.8317111514234947,0.0
rand_00YONAPXZE_specification,GA,2,0.5157319869900906,0.8353593079685909,11.025000000000006
rand_023FMIGQK0_specification,GA,0,0.6174514024184875,0.7160844258894419,0.8569999999999993
rand_023FMIGQK0_specification,GA,1,0.6276547581558259,0.7186523717115166,38.244
rand_023FMIGQK0_specification,GA,2,0.5952595484496974,0.7374824188533275,56.70700000000001
rand_033UAN6C0K_specification,GA,0,0.7513600826957194,0.8678677932241065,35.706999999999994
rand_033UAN6C0K_specification,GA,1,0.6690731346699088,0.8370420731894302,38.907
rand_033UAN6C0K_specification,GA,2,0.7303913687950251,0.8522085730789065,1.7469999999999857
rand_03EQU44RFB_specification,GA,0,0.5797890421668134,0.8108566396191075,15.509999999999977
rand_03EQU44RFB_specification,GA,1,0.5542215246419722,0.793326298545597,7.093999999999994
rand_03EQU44RFB_specification,GA,2,0.6161637482441368,0.8226895318745608,0.792999999999978
rand_04ANOD2PBA_specification,GA,0,0.6236719960828424,0.8977774043158837,19.312999999999988
rand_04ANOD2PBA_specification,GA,1,0.5575434356192669,0.8763455646740087,3.784999999999968
rand_04ANOD2PBA_specification,GA,2,0.6676343994256697,0.8886855624299762,27.25999999999999
