mutation_type,generation_phase,improvements,total_mutations,mean_fitness_gain,std_fitness_gain,improvement_rate
design_params,Early (1-5),35,213,-0.019,0.0272,16.43
design_params,Late (10+),14,168,-0.0449,0.0391,8.33
design_params,Middle (6-10),40,224,-0.0215,0.0275,17.86
insertion,Early (1-5),30,239,-0.0128,0.0235,12.55
insertion,Late (10+),16,172,-0.0264,0.0267,9.3
insertion,Middle (6-10),12,176,-0.0171,0.023,6.82
inversion,Early (1-5),23,219,-0.019,0.026,10.5
inversion,Late (10+),20,170,-0.0478,0.0462,11.76
inversion,Middle (6-10),16,198,-0.0197,0.0249,8.08
rotate,Early (1-5),16,214,-0.0146,0.0246,7.48
rotate,Late (10+),14,194,-0.0387,0.0445,7.22
rotate,Middle (6-10),12,196,-0.0184,0.0287,6.12
scramble,Early (1-5),30,227,-0.0106,0.0194,13.22
scramble,Late (10+),14,206,-0.0348,0.0384,6.8
scramble,Middle (6-10),14,234,-0.016,0.0272,5.98
split,Early (1-5),28,241,-0.0145,0.0189,11.62
split,Late (10+),10,200,-0.04,0.0367,5.0
split,Middle (6-10),14,248,-0.0195,0.0207,5.65
swap,Early (1-5),13,220,-0.0232,0.0286,5.91
swap,Late (10+),8,188,-0.0508,0.0412,4.26
swap,Middle (6-10),12,224,-0.0222,0.0241,5.36
