timestamp,pattern_name,num_pieces,total_generations,initial_fitness,final_fitness,improvement_percent,fitness_at_gen_5,fitness_at_gen_10,fitness_at_gen_15,fitness_at_gen_20,improvement_at_gen_5,improvement_at_gen_10,improvement_at_gen_15,improvement_at_gen_20,elapsed_time,decoder,fitness_metric,crossover_method,mutation_rate,container_width,container_height
20250811_010750,rand_00YONAPXZE,18,11,0.8010499137473532,0.8424648434484913,5.170081038695432,2663.905112028122,NFP,concave_hull,ox1,0.2,1000,140,0.8358529661035626,4.344679620948825,0.8424648434484913,5.170081038695432,,,,
20250811_012137,rand_023FMIGQK0,14,20,0.6743245990337636,0.7501000213986657,11.237232406096458,826.8928310871124,NFP,concave_hull,ox1,0.2,1000,140,0.6989787528406869,3.6561255280098153,0.733157776013088,8.724756158032214,0.733157776013088,8.724756158032214,0.7501000213986657,11.237232406096458
20250811_012623,rand_033UAN6C0K,12,10,0.8392257223555903,0.8459775612176226,0.8045319253419398,285.33920407295227,NFP,concave_hull,ox1,0.2,1000,140,0.8392257223555903,0.0,0.8459775612176226,0.8045319253419398,,,,
20250811_084104,rand_03EQU44RFB,10,19,0.8023536522917347,0.8634416560138718,7.613600754187826,26080.60778093338,NFP,concave_hull,ox1,0.2,1000,140,0.814153686573303,1.470677455990168,0.8497672238587329,5.909310867043788,0.8634416560138718,7.613600754187826,,
20250811_093252,rand_04ANOD2PBA,8,10,0.8741512038262815,0.8857718738009493,1.3293661238241767,3106.8101708889008,NFP,concave_hull,ox1,0.2,1000,140,0.8820032692772586,0.8982502588347954,0.8857718738009493,1.3293661238241767,,,,
20250811_103455,rand_04EGGDPALT,12,10,0.8231463502592133,0.8304749070139461,0.8903103017373472,3722.174103975296,NFP,concave_hull,ox1,0.2,1000,140,0.8304749070139461,0.8903103017373472,0.8304749070139461,0.8903103017373472,,,,
20250811_104328,rand_04IMMO8WDD,10,20,0.7262882490504086,0.7995355912267544,10.085161404182665,512.960530757904,NFP,concave_hull,ox1,0.2,1000,140,0.773961796357858,6.563998160479755,0.7995355912267544,10.085161404182665,0.7995355912267544,10.085161404182665,0.7995355912267544,10.085161404182665
20250811_112849,rand_05AG183QLC,16,12,0.7603924809463198,0.7819609882287981,2.83649665441667,2720.2588551044464,NFP,concave_hull,ox1,0.2,1000,140,0.7788693271214759,2.429909111168668,0.7819609882287981,2.83649665441667,,,,
20250811_114510,rand_05H6WP8PJX,10,10,0.7904832668208466,0.8003745131751856,1.251291048084988,980.4464089870453,NFP,concave_hull,ox1,0.2,1000,140,0.7904832668208466,0.0,0.8003745131751856,1.251291048084988,,,,
20250811_120845,rand_05PQL1BU0S,14,12,0.7574144575251357,0.7914029265747066,4.487433361204743,1414.575267791748,NFP,concave_hull,ox1,0.2,1000,140,0.7914029265747066,4.487433361204743,0.7914029265747066,4.487433361204743,,,,
20250811_121324,rand_05V1M7JE75,8,14,0.7805759699224625,0.8069253555499336,3.375633716995992,277.8872489929199,NFP,concave_hull,ox1,0.2,1000,140,0.8029463368768739,2.8658795320887913,0.8069253555499336,3.375633716995992,,,,
20250811_124521,rand_072Z1RD0W5,26,10,0.7682946135146225,0.7763620187307999,1.0500405800416164,1916.176050901413,NFP,concave_hull,ox1,0.2,1000,140,0.7736657546101807,0.6990991477849305,0.7763620187307999,1.0500405800416164,,,,
20250811_125814,rand_0734NLMRN9,8,10,0.8926148315421957,0.8926148315421957,0.0,772.6167130470276,NFP,concave_hull,ox1,0.2,1000,140,0.8926148315421957,0.0,0.8926148315421957,0.0,,,,
20250811_134639,rand_07EKIQJMNA,16,15,0.7892703495431789,0.8294170853657593,5.086563285421394,2904.417273044586,NFP,concave_hull,ox1,0.2,1000,140,0.8294170853657593,5.086563285421394,0.8294170853657593,5.086563285421394,0.8294170853657593,5.086563285421394,,
20250811_134848,rand_07JYAR0G1P,14,12,0.7835424299294854,0.8144796022222327,3.948372303913582,128.11835289001465,NFP,concave_hull,ox1,0.2,1000,140,0.8058082649945518,2.8416884924879198,0.8144796022222327,3.948372303913582,,,,
20250811_135210,rand_07LSZ9ASL3,4,10,0.9375423413016337,0.9401848418989299,0.2818540007086504,200.97592210769653,NFP,concave_hull,ox1,0.2,1000,140,0.9401848418989299,0.2818540007086504,0.9401848418989299,0.2818540007086504,,,,
20250811_135356,rand_07SXFM3OXA,4,10,0.894159982857092,0.8989433295810829,0.5349542381338527,105.55694007873535,NFP,concave_hull,ox1,0.2,1000,140,0.894159982857092,0.0,0.8989433295810829,0.5349542381338527,,,,
20250811_135808,rand_07XRPZ49VR,4,10,0.9062763092379953,0.906356787662602,0.008880120089903378,251.48905086517334,NFP,concave_hull,ox1,0.2,1000,140,0.9062763092379953,0.0,0.906356787662602,0.008880120089903378,,,,
20250811_142425,rand_080HTM498A,8,13,0.7224573456832072,0.7436706389045648,2.9362692964657677,1576.2712738513947,NFP,concave_hull,ox1,0.2,1000,140,0.7399093372632229,2.4156431773161513,0.7436706389045648,2.9362692964657677,,,,
20250811_153148,rand_0883WEOFDQ,20,18,0.7974122239830742,0.8147703850467136,2.176811508724483,4042.4683182239532,NFP,concave_hull,ox1,0.2,1000,140,0.7974122239830742,0.0,0.8147703850467136,2.176811508724483,0.8147703850467136,2.176811508724483,,
20250811_153703,rand_08JNMI8ORP,4,10,0.943441718126344,0.9508490453541345,0.7851388257985106,314.3263370990753,NFP,concave_hull,ox1,0.2,1000,140,0.9505848979192473,0.7571405478114166,0.9508490453541345,0.7851388257985106,,,,
20250811_154013,rand_09OHSXSIJE,2,10,0.9426701500865999,0.9429334703533558,0.027933446999644163,188.08333802223206,NFP,concave_hull,ox1,0.2,1000,140,0.9426701500865999,0.0,0.9429334703533558,0.027933446999644163,,,,
