mutation_type,phase,avg_gain,count
design_params,early (gen 1-5),-0.04533086597571234,454
design_params,mid (gen 6-10),-0.06035097043604766,340
design_params,late (gen 11+),-0.03328863128360607,189
insertion,early (gen 1-5),-0.036093755362507265,401
insertion,mid (gen 6-10),-0.04314554678594966,310
insertion,late (gen 11+),-0.025182374616696406,148
inversion,early (gen 1-5),-0.04450073456853966,419
inversion,mid (gen 6-10),-0.0545944915900905,296
inversion,late (gen 11+),-0.030728280039952642,168
rotate,early (gen 1-5),-0.10556850306922558,447
rotate,mid (gen 6-10),-0.12518498034911835,333
rotate,late (gen 11+),-0.05820005191330341,154
scramble,early (gen 1-5),-0.03407928498240995,426
scramble,mid (gen 6-10),-0.04582325266965638,305
scramble,late (gen 11+),-0.02434977298594921,140
split,early (gen 1-5),-0.023555875784537363,394
split,mid (gen 6-10),-0.02523662448670942,342
split,late (gen 11+),-0.014547227033530374,164
swap,early (gen 1-5),-0.039190513498305234,452
swap,mid (gen 6-10),-0.05273376541555945,346
swap,late (gen 11+),-0.03103755672363225,162
