Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5470417084589615,0.4677140223251623,0.8,0.03613105378838832,0.2,-0.01376164017546172,0.040210846307559944
2,0.5470417084589615,0.467329568810977,1.0,0.0,0.0,-0.011390651253553374,0.0
3,0.5470417084589615,0.46748393919158043,0.8,0.0,0.2,-0.009312651636675006,-0.0005079942962861184
4,0.5470417084589615,0.47612363206531694,0.8,0.0,0.2,0.003675840750895798,-0.03371837472889372
5,0.5470417084589615,0.4827268094171635,0.6,0.0,0.2,-0.028664409398508693,0.0033777395097338756
6,0.5949818476044468,0.49979173950019395,0.4,0.04794013914548534,0.4,-0.005858924122114984,0.04548862239743087
7,0.5949818476044468,0.5058446549883638,0.8,0.0,0.2,-0.011612637852011321,-5.551115123125783e-17
8,0.5949818476044468,0.48779218695832516,0.8,0.0,0.2,-0.03755656604652143,0.0
9,0.5949818476044468,0.4678664735960833,1.0,0.0,0.0,-0.05746921562784317,0.0
10,0.5949818476044468,0.48163367532974855,1.0,0.0,0.0,-0.009216664693954846,-0.021507957849397297
11,0.5949818476044468,0.4676314857939137,1.0,0.0,0.0,-0.09423049604534009,0.0003782105776528599
12,0.5949818476044468,0.46751742121810214,1.0,0.0,0.0,-0.036475611354922444,0.0
13,0.5949818476044468,0.4930475126404857,0.8,0.0,0.2,-0.03484619380171028,0.0
14,0.5949818476044468,0.4909188321344661,0.8,0.0,0.2,-0.04876696539370753,0.027091213296186856
15,0.5949818476044468,0.4681006158035215,1.0,0.0,0.0,-0.0746091911948716,0.0007594540556496998
